question,gold_answer,crag_ans,naive_ans,bm25_ans,vanilla_ans
What is an expert system shell and what are examples of well-known shells?,An expert system shell is a general toolkit that can be used to build a number of different expert systems depending on which knowledge base is added to it. The shell contains the inference engine explanation system and user interface without any domain-specific knowledge — the knowledge engineer adds the knowledge base appropriate to the problem. CLIPS is a shell that provides a language for expressing rules and mainly uses forward chaining to derive conclusions. CLIPS notation is similar to LISP. Other shells and tools include: OPS5 ART JESS (a Java-based rule engine similar to CLIPS) ECLIPSE and PROLOG (a backward-chaining AI language). The best way to model expert system architecture is to use UML (Unified Modelling Language).,An expert system shell is a command-line interpreter and script host that provides a traditional user interface for the Unix operating system and for Unix-like systems.,An expert system shell is a command-line interface (CLI) that allows users to interact with an expert system. It provides a user-friendly way to input commands and retrieve information from the system. Some well-known expert system shells include:,An expert system shell is a software program that provides a user interface for interacting with an expert system. Examples of well-known shells include the Natural Language User Interface (NLUI) and the Natural Language Processing (NLP) shell.,"An expert system shell is a user interface that allows users to interact with an expert system, and examples of well-known shells include the Knowledge Engineering Environment (KEE) and the Knowledge Engineering System (KES)."
What are the different categories of knowledge in epistemology and why are they relevant to expert systems?,Epistemology is the formal study of knowledge — concerned with its nature structure and origins. The key categories are: A Priori Knowledge — that which precedes independent of the senses universally true and cannot be denied without contradiction. A Posteriori Knowledge — derived from the senses not always reliable and deniable on the basis of new knowledge. Procedural Knowledge — knowing how to do something (e.g. fixing a watch riding a bicycle). Declarative Knowledge — knowledge that something is true or false (expressed as statements e.g. do not touch a hot wire). Tacit Knowledge — unconscious knowledge that cannot be expressed by language (e.g. knowing how to walk or breathe). In rule-based expert systems declarative and procedural knowledge are most commonly represented in IF-THEN rules.,"The different categories of knowledge in epistemology are philosophy, a priori, a posteriori, procedural, and declarative. These categories are relevant to expert systems because they help us understand the nature, structure, and origins of knowledge, which is essential for creating effective and accurate systems.","The different categories of knowledge in epistemology are philosophy, a priori, a posteriori, procedural, and declarative. These categories are relevant to expert systems because they help determine the type of knowledge that is being represented and used in the system. For example, a priori knowledge is based on reasoning and logic, while a posteriori knowledge is based on experience and observation. This is","The different categories of knowledge in epistemology are philosophy, a priori, a posteriori, procedural, and declarative. They are relevant to expert systems because they help us understand how knowledge is acquired, organized, and used in different domains and contexts. For example, philosophy is the study of the nature and limits of knowledge, and it can help us identify the assumptions, values","The different categories of knowledge in epistemology are empirical, a priori, and a posteriori, and they are relevant to expert systems because they determine the sources, methods, and criteria of acquiring and evaluating knowledge."
What is the difference between heuristics and algorithms in the context of expert systems?,An algorithm is an ideal solution that is guaranteed to yield a solution in a finite amount of time. When an algorithm is not available or is insufficient we rely on artificial intelligence and heuristics. A heuristic is a Greek word meaning to discover — it refers to rules of thumb or empirical knowledge gained from experience that may aid in finding a solution but are not guaranteed to work. Expert systems rely on inference — they accept a reasonable solution rather than guaranteeing an optimal one. Heuristics are not guaranteed to succeed in the same way that an algorithm is a guaranteed solution. Expert systems may consist of both deductive and inductive rules based on heuristic information.,Heuristics refers to using experience to solve problems – using precedents.,Heuristics refers to using experience to solve problems – using precedents. Algorithms refer to a set of instructions that a computer follows to solve a problem.,Interaction models help us to understand what is going on in the interaction,"Heuristics are rules of thumb that guide the decision-making process, while algorithms are step-by-step procedures that follow a predefined logic."
What is a production system and what are its key principles?,A production system is a rule-based system where knowledge is represented as IF-THEN production rules. Examples of production rules include: IF Saturday OR Sunday THEN gone to cinema. IF NOT (Saturday OR Sunday) THEN gone to work. IF gone to cinema THEN gone outside. The principles governing a production system are: Someone must determine the objectives of the system its concepts and the rules that apply to its decisions. The rules are general and do not describe a specific situation. In a specific situation you will have or be able to get the facts needed to apply the rules. The knowledge base stores these rules separately from the control program (inference engine).,"A production system is a system that is designed to produce goods and services. It is an organized assembly of components with special relationships between the components. The key principles of a production system are efficiency, effectiveness, and integration.","A production system is a type of computer system that uses rules to process data and make decisions. The key principles of a production system include the use of production rules, which are expressed in IF-THEN format, and the use of a knowledge base to store and retrieve information.",•,"A production system is a set of activities and processes that transform inputs into outputs, and its key principles include efficiency, productivity, quality, and sustainability."
How are expert systems classified by size and what are the thresholds?,Based on the number of rules in the rule base expert systems may be classified as small medium and large. A medium system may consist of up to 10000 rules in its rule base. In expert system development substantial time is devoted to building the knowledge base. For some problems there may not be a human expert available (such as lottery forecasting) making those domains unsuitable for expert system development. The domain should be relatively stable during the development period. For an ideal expert system development two knowledge engineers should be used where at least one is experienced in the development and implementation of successful expert systems.,Expert systems are classified according to their reach and complexity. The most common types of networks are:,Expert systems are classified by size and the thresholds are:,"Expert systems are classified by size into three categories: small, medium, and large. The thresholds for these categories are:","Expert systems are classified by size based on the number of rules and the amount of data they use, and the thresholds are usually 10,000 rules and 1 million data points."
What is the knowledge engineer's role and what principles should guide the selection of a domain expert?,The knowledge engineer establishes a dialogue with the human expert to elicit knowledge then codes the knowledge explicitly in the knowledge base. The knowledge engineer's interface is used for inputting rules debugging output and keeping track of rule traces. Principles for selecting a domain expert include: Select an expert whose performance is generally acknowledged to be above and beyond that of most others. Select an expert with a successful track record over a period of time. Select an expert who is willing and able to communicate their personal knowledge and is relatively articulate. Select an expert who is willing and able to devote the time necessary to support the development effort. It is believed that it takes approximately 15 years to become an expert in a particular domain.,The knowledge engineer's role is to establish a dialog with the human expert to elicit knowledge. The principles that should guide the selection of a domain expert include their expertise in the specific problem domain and their ability to effectively communicate their knowledge to the knowledge engineer.,"The knowledge engineer's role is to design and implement expert systems. The principles that should guide the selection of a domain expert include their expertise in the specific problem domain, their ability to provide accurate and reliable information, and their familiarity with the domain-specific terminology and concepts.","Expert Systems: Principles and Programming, Fourth Edition","The knowledge engineer's role is to extract knowledge from domain experts and the principles that should guide the selection of a domain expert are that they should have a deep understanding of the domain, be able to explain concepts clearly, and have a passion for the subject matter."
What are the advantages of rule-based knowledge representation in expert systems?,Using rule-based representation has several advantages over other forms of knowledge representation: Rules represent a particularly natural mode of knowledge representation minimising the learning time needed to develop rule bases. The learning curve for rule-based expert systems is shallower than for alternative modes of representation. Rules are transparent and far more transparent than the modes of representation used by competing approaches. Rule bases can be relatively easily modified — additions deletions and revisions to rule bases are relatively straightforward. IF-THEN rules allow the expert system to represent knowledge as a hierarchy where rules are activated by facts or other rules producing new facts or conclusions.,"The advantages of rule-based knowledge representation in expert systems are increased availability, reduced cost, reduced danger, improved performance, multiple expertise, and increased reliability.","The advantages of rule-based knowledge representation in expert systems are increased availability, reduced cost, reduced danger, improved performance, multiple expertise, and increased reliability.",The advantages of rule-based knowledge representation in expert systems include:,Rule-based knowledge representation in expert systems allows for the creation of explicit rules that can be used to make decisions and solve problems based on specific conditions and constraints.
What are semantic nets and how do they represent knowledge?,A semantic net is basically a graphical depiction of knowledge that may show hierarchical relationships between objects. It is one of the major knowledge representation schemes used in expert systems alongside production rules predicate calculus first-order logic and Object-Attribute-Value (OAV) triples. Semantic nets represent knowledge through nodes (objects or concepts) connected by labelled arcs (relationships between them). They are useful for representing inheritance hierarchies and associative relationships. The sentence Accra is the capital of Ghana can be represented as a proposition — a basic unit of declarative knowledge that is true or false — and such propositions can be nodes and relationships in a semantic net.,"Semantic nets are a classic representation technique for propositional information, consisting of nodes and links. Nodes represent objects, concepts, and propositions, which are statements of facts (true/false). Semantic nets are shallow knowledge structures, meaning that all knowledge is contained within nodes and links. In contrast, schemas are more complex structures that allow for data, records, and pointers to nodes. Sem","Semantic nets are a representation technique for propositional information, consisting of nodes and links. They are used to represent knowledge about narrow subjects with much default knowledge. Frames, on the other hand, provide 3-dimensional knowledge and represent related knowledge about specific subjects.","Semantic nets provide 2-dimensional knowledge, while frames provide 3-dimensional knowledge. Frames represent related knowledge about narrow subjects having much default knowledge.","Semantic nets are a way of representing knowledge that uses nodes and edges to show relationships between concepts, and they are useful for organizing and understanding complex information."
What is the Markov Decision Process and what are its key properties?,A Markov Decision Process (MDP) is a mathematical framework for reasoning about sequences of decisions under uncertainty. The process is stochastic (probabilistic). Key properties are: the process has a finite number of possible states the process can be in only one state at any one time the process moves successively from one state to another over time and the probability of a move depends only on the immediately preceding state (not on the full history — the Markov property). A transition matrix represents the probabilities of moving from one state to another. A state matrix depicts the probability of being in each state at a given time. The system may converge to a steady-state matrix — a time of equilibrium.,"The Markov Decision Process (MDP) is a mathematical framework used to model decision-making problems. It is a generalization of the Markov chain, which is a mathematical model used to describe a stochastic process. In an MDP, the decision-maker is faced with a set of possible actions, each of which leads to a state, and each state has a probability",The Markov Decision Process is a mathematical model used to analyze decision-making in situations where the outcome of one decision depends on the current state of the system. Its key properties include:,chaining,"The Markov Decision Process is a mathematical model that describes decision-making under uncertainty, and its key properties include the Markov property, the value iteration property, and the optimal policy property."
What is natural language processing and what are its two main sub-branches?,Natural language processing (NLP) is a branch of AI concerned with enabling computers to understand and communicate in human language. Speech recognition allows a computer to respond to voice input — the goal is to simplify interactive communication between humans and computers. NLP is divided into two sub-branches: Natural Language Understanding — explores methods of computer comprehension of human language stimuli and Natural Language Generation/Production — the ability of a computer to communicate verbally with a human. Training is the process of using examples to develop a neural network that associates the input pattern with the correct answer — a set of examples with known outputs is repeatedly fed into the network.,Natural language processing is the ability of a computer to understand and interpret human language. Its two main sub-branches are computational linguistics and artificial intelligence.,1.,I cannot find this in the lecture materials.,"Natural language processing is the study and application of algorithms and systems that enable computers to understand and generate natural language, and its two main sub-branches are natural language understanding and natural language generation."
What is the types-of-belief framework used in reasoning under uncertainty?,The types of belief used in reasoning under uncertainty are: Possible — no matter how remote the hypothesis cannot be ruled out. Probable — there is some evidence favouring the hypothesis but not enough to prove it. Plausible — more than a mere possibility exists (stronger than possible but less than probable). Certain — the evidence is logically true or false (definitively established). Impossible — the hypothesis is false and can be ruled out entirely. This framework allows expert systems to express graduated degrees of confidence in their conclusions rather than binary true/false judgements — essential when dealing with incomplete or conflicting evidence.,The types-of-belief framework is used in reasoning under uncertainty.,"The types-of-belief framework is a framework used in reasoning under uncertainty. It is used to describe the different types of beliefs that can be held in uncertain situations. The framework includes subjective, classical, and Bayesian probabilities.","The types-of-belief framework used in reasoning under uncertainty is the framework that distinguishes between classical, experimental, and subjective probabilities.",The types-of-belief framework is a way of categorizing beliefs into different types based on their properties and uses in reasoning under uncertainty.
What are the roles of expertise and intelligence in expert systems?,Expertise is a large amount of knowledge in a particular domain — it enables a person or system to find solutions much faster than a novice. Intelligence allows you to use your expertise — to apply the knowledge appropriately to the situation at hand. Expertise and intelligence are not the same things although they are related. Experts include doctors chess grandmasters financial wizards and chefs. It is believed that it takes approximately 15 years to become an expert in a particular domain. The expert in an expert system development context becomes a component of the overall decision-making process (a decision support role) and may ask another expert to join in making decisions. Expert systems preserve expertise and build corporate memory for organisations.,"Expert systems are computer systems that emulate the decision-making capabilities of a human expert. Expert systems rely on knowledge representation based on rules of logic called inferences. Expertise and intelligence are both important in the development, efficiency, speed, and maintenance of expert systems.",Expert systems are designed for knowledge representation based on rules of logic called inferences.,1.,Expert systems use knowledge representation and reasoning to mimic human intelligence and provide expert-level advice.
What is a compiler and what does it do?,A compiler is a program that reads a program written in one language (the source language) and translates it into another language (the target language). Traditionally compilers translate from high-level programming languages suitable for human programmers into low-level machine language required by computers. During this process the compiler also attempts to spot and report obvious programmer mistakes detected during the translation process. The entire source program is taken as input and object code or an executable file is produced as output. After compilation execution is faster and any errors are shown after the full compilation.,A compiler is a program that translates (or compiles) a program written in a high-level programming language (the source language) that is suitable for human programmers into the low-level machine language (target language) that is required by computers.,A compiler is a program that translates (or compiles) a program written in a high-level programming language (the source language) that is suitable for human programmers into the low-level machine language (target language) that is required by computers.,A compiler is a software program that translates source code written in a high-level programming language into machine code that can be executed by a computer. It is an essential tool for software development as it enables programmers to write code in a more human-readable form and then convert it into a format that the computer can understand and execute.,A compiler is a program that translates the source code of a program into machine code that can be executed by a computer.
What is interpretation and how does it differ from compilation?,Interpretation is the process of executing a program directly without first translating the entire program into machine code. An interpreter reads the source program analyses statements and carries out the required actions — usually processing one statement or instruction at a time. It may perform lexical syntax and semantic analysis internally before execution. Key differences from compilation: an interpreter processes one statement at a time and usually does not produce a separate executable file while a compiler takes the entire program as input and produces object/executable code. Interpreted execution is usually slower while compiled execution is faster after the initial compilation step. Debugging is easier in interpreted mode because errors are reported close to the statement being executed.,"Interpretation is the process of executing a program directly without first translating the entire program into machine code. An interpreter reads a statement, analyzes its tokens and structure, checks its meaning, evaluates the operation, produces any required output, and then moves on to the next statement. This differs from compilation, which involves translating the entire program into machine code before execution.","Interpretation is a process in which a program is executed line by line, without the need for a separate executable file. This means that the interpreter reads the source code and performs the operations during execution. On the other hand, compilation involves converting the source code into an executable file, which can be run directly without the need for an interpreter.","Interpretation is the process of analyzing and understanding the meaning of a text or speech. It involves identifying the author's purpose, tone, and intended audience. Compilation, on the other hand, is the process of organizing and presenting information in a clear and concise manner. It involves selecting and arranging information in a way that is easy to understand and follow.","Interpretation is the process of analyzing and understanding the meaning of a text, while compilation is the process of organizing and presenting information in a structured manner."
What are the main stages of the interpretation process?,The main stages of interpretation are: Read (obtain the next statement expression command or line of code from a source file command line or interactive shell) Analyze (identify tokens syntax and meaning — this covers lexical syntax and semantic analysis) Evaluate (perform the operation described by the current statement — expressions are evaluated assignments are made functions are called and memory state is updated) Print (display visible output when required such as when print() is reached or in interactive mode) and Loop (the cycle repeats from Read until the program ends the user exits or an error stops execution). This cycle is known as the Read-Evaluate-Print Loop (REPL) common in interactive environments like the Python shell.,1. Read,Error Messages,Error Messages,"The main stages of the interpretation process are pre-interpreting, interpreting, and post-interpreting."
What is lexical analysis in the context of interpretation and what are tokens?,Lexical analysis is the stage in which the interpreter (or compiler) breaks a statement into tokens — the smallest meaningful units in the program. Examples of tokens include identifiers operators constants keywords and delimiters. For the statement x = 5 + 3: x is an identifier = is an assignment operator 5 is an integer literal + is an arithmetic operator and 3 is an integer literal. Invalid characters are detected at this lexical analysis stage. For example if extra is misspelled as ex$tra the $ character constitutes a lexical error because $ is not a valid character in most programming language identifiers.,Lexical analysis is the process of breaking down a program into tokens.,The interpreter reads this as a statement that assigns the value of an expression to a variable.,Answer:,"Lexical analysis is the process of breaking down a text into its constituent parts, such as words, phrases, and symbols, and tokens are the basic units of lexical analysis that represent the meaning and structure of the text."
What is syntax analysis (parsing) and what errors does it detect?,Syntax analysis (parsing) is the stage after tokenisation where the interpreter or compiler checks whether the tokens follow the grammar rules of the language. This stage determines the structure of a statement. Syntax errors are reported when the arrangement of tokens violates grammar rules. For example x = 5 + 3 is correct while x = 5 + is incorrect because the operator + has no right-hand operand. Some interpreters parse an entire block before executing it. The syntax analyser uses grammar rules such as expr → expr + term to build a structural representation of the statement. A syntax error would occur if b * c was written as b * * c (double operator).,The output of the program is the result of the program's execution.,Syntax analysis (parsing) is the process of checking whether a statement follows the rules of a programming language.,1. IDENTIFICATION AND EVALUATION OF THE OPPORTUNITY,"Syntax analysis (parsing) is the process of checking if a program follows the rules of a programming language, and it detects errors such as missing or mismatched parentheses, brackets, or semicolons."
What is semantic analysis and what errors does it detect?,Semantic analysis checks whether a statement is meaningful — it goes beyond structure to verify that the operations make sense. It checks variable existence valid operations type compatibility and scope rules. A statement may be syntactically correct but semantically wrong — for example x = Hello + 5 would be a type error because a string and an integer cannot be added directly. In dynamic languages some semantic errors are discovered only when execution reaches the statement at runtime. Semantic errors detected by the compiler/interpreter include type mismatches and using undeclared variables. Missing semicolons and invalid syntax structure are syntax errors not semantic errors.,"Semantic analysis checks whether a statement is meaningful. It checks variable existence, valid operations, type compatibility, and scope rules. A statement may be syntactically correct but semantically wrong.",Semantic analysis checks whether a statement is meaningful.,"Semantic analysis is the process of analyzing the meaning of a text. It detects errors such as incorrect word usage, incorrect grammar, and incorrect sentence structure.","Semantic analysis is a process of checking the meaning and logic of a text, and it detects errors such as spelling, grammar, punctuation, and word choice."
What is an Abstract Syntax Tree (AST) and what role does it play in compilation/interpretation?,An Abstract Syntax Tree (AST) is an internal representation of the structure of a source program statement. Many interpreters and compilers convert statements into an AST after lexical and syntax analysis. The tree shows the hierarchical relationships between operations and operands. For example for x = 5 + 3 the AST shows an assignment node with x on the left and a + node on the right with children 5 and 3 — making it clear that 5 + 3 is evaluated first then the result is assigned to x. The syntax analyser builds parse trees using grammar rules like expr → expr + term where operator precedence and associativity determine the tree structure (* and / have higher precedence than + and -).,An Abstract Syntax Tree (AST) is a tree-like data structure that represents the structure of a program in a way that is independent of the programming language. It is used in both compilation and interpretation to represent the structure of a program and to facilitate the process of translating the program into machine code.,The AST is a tree-like structure that represents the syntactic structure of the source code. It is used in both compilation and interpretation to analyze the code and generate the corresponding machine code.,An Abstract Syntax Tree (AST) is a tree-like data structure that represents the syntactic structure of a program. It is used in compilation and interpretation to analyze the structure of a program and to generate code that can be executed by a computer.,"An Abstract Syntax Tree (AST) is a tree-like data structure that represents the syntactic structure of a program, and it plays a crucial role in both compilation and interpretation by providing a structured representation of the program's code."
What is the REPL and where is it commonly used?,REPL stands for Read → Evaluate → Print → Loop. It is an interactive programming environment that reads a user's input evaluates it executes it and prints the result before looping back to read the next input. The cycle continues until the program ends the user exits or an error stops execution. REPL environments are common in Python shells command shells and other interactive scripting environments. In a REPL the Read phase happens every time the user enters a command. REPLs are especially useful for learning programming because students can type commands and see results immediately.,The Read-Eval-Print Loop is a common pattern in interactive environments such as Python shells.,The REPL is commonly used in interactive environments such as Python shells.,The REPL is a Read → Evaluate → Print → Loop style of interaction commonly used in interactive environments such as Python shells.,"The REPL is a text-based interface for interacting with a computer program and it is commonly used in programming languages such as Python, Ruby, and JavaScript."
What are the types of errors that can occur in an interpreted or compiled program?,The main types of errors are: Lexical errors (invalid symbol or character — e.g. x = 10 @ 2 where @ is invalid) Syntax errors (grammar or structure violation — e.g. if x > 5 with no colon or body) Semantic errors (meaning or type problem — e.g. Age minus 5 where Age is a string) Runtime errors (failure while executing — e.g. division by zero: 10 / 0) and Logical errors (program runs but result is wrong — e.g. computing average as total divided by 2 instead of count). Logical errors are often not detected automatically because the program may still execute successfully. Lexical errors are identified during lexical analysis syntax errors during syntax analysis and semantic errors during semantic analysis.,Syntax error:,Syntax error: violation of a programming rule or not writing an instruction in conformity with the rules of the language being used.,1.,"The types of errors that can occur in an interpreted or compiled program are syntax errors, semantic errors, and runtime errors."
What are the advantages and limitations of interpretation compared to compilation?,Advantages of interpretation: Immediate execution (no separate compilation step) Easy debugging (errors reported close to the failing statement) Good for learning (immediate feedback) Flexibility (useful for dynamic languages where types may change at runtime) and Portability (same source runs on any system with the correct interpreter). Limitations of interpretation: Slower execution (translation and execution happen simultaneously at runtime) Interpreter dependency (the interpreter must be installed on the target machine) Less aggressive optimisation than ahead-of-time compilers Source code exposure (interpreted programs are often distributed in readable form) and some errors may only appear when the faulty statement is reached during execution.,Advantages:,"Interpretation is useful for dynamic languages where types and behavior may change at runtime. It is also useful for systems that have the correct interpreter. However, interpretation has limitations such as location and are shared among multiple users. The centralized nature of the database system provides several advantages, which overcome the limitations of the conventional file-processing system. Interpretation is especially useful when flexibility, interaction, quick","The advantages of interpretation are that it is faster and more efficient than compilation. However, it can be more difficult to debug and maintain.",Interpretation and compilation are two methods of accounting that have different advantages and limitations depending on the nature and purpose of the financial statements.
What is hybrid implementation and what is Just-In-Time (JIT) compilation?,Hybrid implementation combines compilation and interpretation. The source program is first compiled into an intermediate representation (such as bytecode) and then that intermediate code is executed by a virtual machine rather than converting directly to native machine code. Example: Java source code is compiled into bytecode which the Java Virtual Machine (JVM) then executes. Similarly Python compiles to bytecode executed by the Python Virtual Machine (PVM) and C# compiles to CIL executed by the .NET CLR. Just-In-Time (JIT) compilation compiles code during program execution rather than before it — combining interpreter flexibility with compiled-code speed. Frequently executed (hot) code is detected and compiled into native machine code for faster execution. JIT is used in many virtual machines and modern language runtimes.,Interpretation and Virtual Machines,Hybrid implementation is a kernel that can run in user mode and supervisor mode.,Hybrid implementation is a combination of monolithic and microkernel.,"Hybrid implementation is a combination of compiled and interpreted languages, and Just-In-Time (JIT) compilation is a technique that translates code at runtime, resulting in faster execution."
What is a formal grammar and what are its four components?,A formal grammar G is defined as a 4-tuple G = (N Σ S P) where: N is the set of non-terminal symbols (representing patterns or groupings of symbols that can be replaced by production rules) Σ is the set of terminal symbols (symbols that appear in the final generated string — keywords operators and other basic tokens of the language) S is the start symbol (the first symbol used to generate strings — it is the root from which all derivations begin) and P is the set of production rules (transformations from non-terminals to sequences of terminals and/or non-terminals — each rule has a head and a body written as Head → Body). A grammar's syntax defines the structure and valid ordering of symbol sequences.,"A formal grammar is a set of rules that define the syntax and structure of a formal language. Its four components are the set of production rules, the set of terminals, the set of nonterminals, and the start symbol.",,A formal grammar is a set of rules that define the syntax of a formal language. It consists of four components:,"A formal grammar is a set of rules that define the structure and meaning of a language, and its four components are the set of symbols, the set of sentences, the set of rules, and the set of functions."
What is the purpose of a grammar and what does it mean for a grammar to be ambiguous?,A grammar specifies valid symbol sequences (syntax) — it defines the alphabet and valid constructs of a language and generates strings belonging to that language. A language in formal grammar theory is a set of strings generated from the grammar. A grammar is ambiguous when a single string can be generated in more than one way — i.e. there exist multiple distinct derivation trees (parse trees) for the same string. Ambiguity is detected by testing whether unique derivation exists for all strings. An unambiguous grammar guarantees exactly one parse tree for every valid string which is essential for deterministic parsing.,The purpose of a grammar is to define the syntax of a language. A grammar is ambiguous if it is not clear which interpretation of the language is correct.,A grammar is a set of rules that define the structure and,The purpose of a grammar is to define the rules and structure of a language. It helps in understanding how words and phrases can be combined to form meaningful sentences. A grammar is ambiguous when it has multiple interpretations or can be used to form more than one valid sentence.,"The purpose of a grammar is to provide a set of rules for constructing sentences, and a grammar is ambiguous if it can have more than one interpretation or meaning."
What is a production rule and how are strings generated from a grammar?,A production rule is a transformation from a non-terminal symbol to a sequence of terminals and/or non-terminals — represented as Head → Body (e.g. S → Y). Each rule includes a head (the non-terminal being replaced) and a body (the replacement sequence). Strings are generated by: starting from the start symbol S and repeatedly applying production rules to replace non-terminals with their right-hand sides until no non-terminals remain and only terminal symbols are present. The result is a valid string in the language. The symbol ε (epsilon) denotes the empty string. Production rules in a production system can be chained: e.g. IF Saturday OR Sunday THEN gone to cinema followed by IF gone to cinema THEN gone outside.,"A production rule is a rule that specifies how to generate strings from a grammar. In rule-based systems, the inference engine uses production rules to generate strings from a grammar.",1. A production rule is a rule that specifies how a string is generated from a grammar.,"A production rule is a rule that specifies how a string can be generated from a grammar. In a context-free grammar, a production rule is a tuple (A, B) where A is a non-terminal symbol and B is a string of terminals and non-terminals. The string B is generated by applying the production rule to the current non-terminal symbol A.","A production rule is a rule that specifies how to generate strings from a grammar, and strings are generated by applying the production rules in a specific order."
What is a recogniser in formal language theory and what theory describes it?,A recogniser is a device or algorithm that verifies whether a given string belongs to the grammar's language. Given a string as input it outputs yes (accepted) or no (rejected). Recognisers are described using Automata Theory — the mathematical study of abstract machines and their computational power. The two main types of automata used as recognisers are: Non-deterministic Finite Automata (NFA) and Deterministic Finite Automata (DFA). Both take a string as input and output yes or no. Regular languages can be recognised by finite automata. Recognisers are distinct from generators (which produce all strings of a language).,A recogniser is a finite state machine that accepts a string of symbols from a formal language.,A recogniser is a finite state machine that accepts a string of symbols from a formal language.,The recogniser is a finite state machine.,"A recogniser is a finite state machine that accepts or rejects a string of symbols according to a grammar, and the theory that describes it is the context-free grammar."
What is a regular expression and what are its three fundamental operations?,A regular expression formally describes a regular language. The three fundamental operations on regular expressions over an alphabet K are: Union (P | Q) — the set of strings belonging to either P or Q (e.g. if P = {a…e} and Q = {0…9} then P|Q = {a…e 0…9}). Concatenation (PQ) — all strings formed by concatenating a string from P with a string from Q (e.g. {a0 a1 … e9}). Closure (Q*) — zero or more repetitions of strings from Q (e.g. if Q = {0…9} then Q* = {ε 0…9 00…99 …}). The base cases are: {} for the empty set ε for the empty string and a for a single symbol a in K. The shorthand a+ means one or more a's (equivalent to a*a).,A regular expression is a finite string of characters that can be used to match a pattern in a string.,A regular expression is a finite state machine that precisely recognizes a regular expression (RE).,"A regular expression is a sequence of characters that defines a search pattern. It is used to search, replace, and manipulate text. The three fundamental operations of a regular expression are:","A regular expression is a sequence of characters that defines a search pattern, and its three fundamental operations are matching, searching, and replacing."
What is an NFA (Non-deterministic Finite Automaton) and how is it formally defined?,A Non-deterministic Finite Automaton (NFA) is a mathematical model formally defined as a 6-tuple consisting of: a set of states S a set of input symbols K a transition function that maps state/symbol pairs to a SET of states (S × {K ∪ ε} → set of S) — meaning multiple transitions can exist from one state on the same input a special start state s0 epsilon (ε) transitions (also called lambda transitions — moving to another state without consuming input) and a set of final/accepting states F (a subset of S). Input is a string and output is yes or no. NFAs allow nondeterminism — multiple possible paths for the same input — and a string is accepted if any path leads to an accepting state.,An NFA is a mathematical model that consists of,"An NFA is a mathematical model that consists of a set of states, a set of input symbols, and a set of transitions. It is formally defined as a set of states, a set of input symbols, and a set of transitions.","An NFA is a finite automaton that can have multiple paths from a given state to a given final state. It is formally defined as a finite set of states, a finite set of input symbols, a transition function that maps each state and input symbol to a new state, and a set of initial and final states.","An NFA is a mathematical model of computation that can recognize languages, and it is formally defined by a set of states, a set of input symbols, a set of transition functions, and a start state and a set of accepting states."
What is a DFA (Deterministic Finite Automaton) and how does it differ from an NFA?,A Deterministic Finite Automaton (DFA) is formally defined as a 5-tuple D = (Q Σ δ q0 F) where: Q is a finite set of states Σ is the input alphabet δ is a unique transition function Q × Σ → Q (exactly one next state per state-symbol pair) q0 is the start state and F is the set of accepting final states. Key differences from an NFA: a DFA has NO epsilon (ε) transitions and has EXACTLY ONE transition per state-symbol pair (deterministic). A DFA accepts a string if starting at q0 it reads the string symbol by symbol following exactly one defined transition per step and the final state reached is in F. DFAs and NFAs recognise the same class of languages (regular languages) but DFAs are easier to implement directly.,A DFA is a finite automaton with:,A DFA is a finite automaton with no epsilon transitions and exactly one transition per state-symbol pair.,A DFA is a finite state machine that precisely recognizes a regular expression (RE).,"A DFA is a finite-state machine that accepts or rejects strings based on a finite set of states and transitions, while an NFA is a finite-state machine that accepts or rejects strings based on an infinite set of states and transitions."
What are the phases of a compiler and what does each phase produce?,The phases of a compiler are: Lexical Analysis (scanner) — reads the source program and produces a stream of tokens identifying lexical errors. Syntax Analysis (parser) — takes the token stream and produces a parse tree or AST checking that tokens follow the grammar — detects syntax errors. Semantic Analysis — checks the parse tree for semantic correctness (type compatibility undeclared variables scope) producing an annotated AST — detects semantic errors. Intermediate Code Generation — produces an intermediate representation (IR) such as three-address code that is portable and machine-independent. Optimisation — improves code performance without changing its behaviour using techniques like constant folding dead code elimination and common subexpression elimination. Code Generation — translates the optimised IR into target machine code including register allocation and instruction scheduling. A Symbol Table is maintained throughout tracking identifiers and their types.,1. Read,1-10,1-9,"The phases of a compiler are lexical analysis, syntax analysis, semantic analysis, code generation, and optimization, and each phase produces a different output, such as tokens, parse trees, semantic rules, and optimized code."
